Date,Open,High,Low,Close
2014-04-28,311.02,311.57,309.5,309.84
2014-04-29,310.57,311.98,310.19,311.85
2014-04-30,310.35,310.67,308.96,309.53
2014-05-01,307.99,308.06,306.85,306.98
2014-05-02,307.41,307.92,306.79,307.14
2014-05-05,307.57,307.77,306.76,307.24
2014-05-06,307.1,308.1,306.78,307.28
2014-05-07,307.35,307.76,306.4,307
2014-05-08,306.71,306.71,305.58,306.14
2014-05-09,306.24,306.27,304.3,304.57
2014-05-12,305.43,305.98,305.04,305.51
2014-05-13,306.56,306.84,305.87,306.76
2014-05-14,307.73,308.11,307.27,307.96
2014-05-15,307.69,308.04,306.63,307.08
2014-05-16,306.85,307.03,305.9,305.92
2014-05-19,306.91,307.25,306.41,306.83
2014-05-20,307.07,307.63,306.35,306.92
2014-05-21,307.48,308.24,307.01,307.85
2014-05-22,308.57,309.12,307.43,307.63
2014-05-23,308.16,308.5,307.75,308.26
2014-05-27,307.14,307.37,306.45,306.62
2014-05-28,306.84,306.87,305.26,306.01
2014-05-29,306.38,307.88,306.27,307.34
2014-05-30,306.64,306.64,305.3,305.48
2014-06-02,305.69,306.07,304.98,305.41
2014-06-03,305.17,305.46,304.57,305.02
2014-06-04,305.4,305.42,304.1,304.18
2014-06-05,303.67,304.33,303.04,304.26
2014-06-06,304.24,305.38,304.13,305.25
2014-06-09,305.74,306.27,305.3,306.23
2014-06-10,306.42,306.88,305.15,305.49
2014-06-11,305.67,306.48,304.98,305.23
2014-06-12,307.17,308.67,306.65,308.62
2014-06-13,309.91,310.41,309.48,309.98
2014-06-16,310.65,310.81,309.64,309.83
2014-06-17,309.08,309.47,308.68,309.03
2014-06-18,310.03,310.04,308.84,309.4
2014-06-19,310.25,311.93,309.55,311.74
2014-06-20,311.57,312.97,311.36,312.93
2014-06-23,313.17,313.27,311.41,312.02
2014-06-24,312.04,312.11,311.22,311.99
2014-06-25,312.07,312.85,311.42,312.8
2014-06-26,312.19,312.7,310.99,312.01
2014-06-27,312.14,312.68,310.46,310.82
2014-06-30,309.87,310.12,308.01,308.22
2014-07-01,308.04,308.06,306.68,307.43
2014-07-02,306.83,307.25,306.04,307.14
2014-07-03,306.86,306.88,306.11,306.74
2014-07-07,305.45,305.5,303.01,303.75
2014-07-08,303.87,304.38,303.03,303.44
2014-07-09,303.36,303.38,300.86,301.19
2014-07-10,301.17,301.46,299.21,299.7
2014-07-11,299.35,299.35,296.45,297.07
2014-07-14,296.98,297.57,296.39,297.47
2014-07-15,296.5,296.87,294.61,296.02
2014-07-16,297.23,297.53,296.54,296.79
2014-07-17,297.41,298.54,296.75,297.92
2014-07-18,298.38,298.38,297.04,297.42
2014-07-21,296.7,298.5,296.63,298.44
2014-07-22,298.74,298.84,297.22,297.35
2014-07-23,297.66,298.8,297.62,298.77
2014-07-24,299.71,300.38,298.09,298.19
2014-07-25,298,298.51,297.03,298.34
2014-07-28,298.24,298.73,297.62,298.31
2014-07-29,297.5,297.51,295.56,296.64
2014-07-30,296.54,297.08,295.57,296.11
2014-07-31,296,296.26,294.33,294.43
2014-08-01,293.56,294.4,292.36,292.48
2014-08-04,293.39,294.44,292.92,294.16
2014-08-05,293.9,293.9,291.94,292.4
2014-08-06,292.54,294.27,292.37,294.03
2014-08-07,293.94,294.1,292.54,293.08
2014-08-08,293.58,293.61,291.93,292.43
2014-08-11,292.91,294.06,292.89,293.84
2014-08-12,293.36,293.36,291.32,291.78
2014-08-13,291.68,292.28,290.42,291.29
2014-08-14,290.81,291.18,288.72,288.8
2014-08-15,289.05,290,288.51,289.93
2014-08-18,289.04,289.21,287.88,288.2
2014-08-19,288.67,288.7,286.78,287.04
2014-08-20,287.24,288.28,286.94,288.28
2014-08-21,287.79,289.42,287.57,289.05
2014-08-22,288.88,289.14,288.17,288.67
2014-08-25,288.95,289.14,288.16,288.54
2014-08-26,288.89,290.57,288.79,290.29
2014-08-27,290.7,291.3,289.69,290.43
2014-08-28,290.94,291.69,290.31,291.34
2014-08-29,291.54,292.76,291.36,292.75
2014-09-02,291.71,291.71,289.2,289.28
2014-09-03,289.5,290.53,288.78,290.3
2014-09-04,290.19,290.31,288.37,288.63
2014-09-05,288.96,289.07,287.13,288.02
2014-09-08,287.13,287.22,285.76,286.75
2014-09-09,286.87,287.07,285.57,285.79
2014-09-10,285.25,285.52,283.26,283.64
2014-09-11,282.07,282.83,281.06,282.77
2014-09-12,282.74,283,281.54,281.9
2014-09-15,281.12,281.96,280.22,281.84
2014-09-16,281.9,284.68,281.37,284.39
2014-09-17,284.22,284.56,283.49,284.1
2014-09-18,283.48,283.48,280.8,280.94
2014-09-19,280.05,280.63,278.98,279.4
2014-09-22,278.43,278.79,276.65,277.67
2014-09-23,279.15,279.46,277.77,277.8
2014-09-24,277.73,280.45,277.4,280.38
2014-09-25,280.31,280.81,278.49,279.17
2014-09-26,280.02,280.62,278.9,280.28
2014-09-29,281.04,283.23,280.23,283.14
